"doc_id","AB","TI","DI","LA"
"LITTLECHILD JA, 2017, J IND MICROBIOL BIOTECHNOL 3","The speed of sequencing of microbial genomes and metagenomes is providing an ever increasing resource for the identification of new robust biocatalysts with industrial applications for many different aspects of industrial biotechnology. Using `natures catalysts' provides a sustainable approach to chemical synthesis of fine chemicals, general chemicals such as surfactants and new consumer-based materials such as biodegradable plastics. This provides a sustainable and `green chemistry' route to chemical synthesis which generates no toxic waste and is environmentally friendly. In addition, enzymes can play important roles in other applications such as carbon dioxide capture, breakdown of food and other waste streams to provide a route to the concept of a `circular economy' where nothing is wasted. The use of improved bioinformatic approaches and the development of new rapid enzyme activity screening methodology can provide an endless resource for new robust industrial biocatalysts.This mini-review will discuss several recent case studies where industrial enzymes of `high priority' have been identified and characterised. It will highlight specific hydrolase enzymes and recent case studies which have been carried out within our group in Exeter.","Improving the `tool box' for robust industrial enzymes","10.1007/s10295-017-1920-5","ENGLISH"
"LIU G, 2016, BIOPROCESS BIOSYST ENG","Cost reduction on cellulase enzyme usage has been the central effort in the commercialization of fuel ethanol production from lignocellulose biomass. Therefore, establishing an accurate evaluation method on cellulase enzyme cost is crucially important to support the health development of the future biorefinery industry. Currently, the cellulase cost evaluation methods were complicated and various controversial or even conflict results were presented. To give a reliable evaluation on this important topic, a rigorous analysis based on the Aspen Plus flowsheet simulation in the commercial scale ethanol plant was proposed in this study. The minimum ethanol selling price (MESP) was used as the indicator to show the impacts of varying enzyme supply modes, enzyme prices, process parameters, as well as enzyme loading on the enzyme cost. The results reveal that the enzyme cost drives the cellulosic ethanol price below the minimum profit point when the enzyme is purchased from the current industrial enzyme market. An innovative production of cellulase enzyme such as on-site enzyme production should be explored and tested in the industrial scale to yield an economically sound enzyme supply for the future cellulosic ethanol production. © 2015 Springer-Verlag Berlin Heidelberg.","Cost evaluation of cellulase enzyme for industrial-scale cellulosic ethanol production based on rigorous Aspen Plus modeling","10.1007/s00449-015-1497-1","ENGLISH"
"LIU H, 2024, ENVIRON SCI POLLUT RES","As a crucial hydrolytic enzyme, urease plays a vital role in anaerobic biological treatment. It is well-known that manganese ions are abundant in landfill leachate, but their concentration fluctuates significantly. However, few studies have investigated the effect and mechanism of different concentrations of Mn2+ on urease activity during anaerobic biological treatment of landfill leachate. This paper aimed to investigate the effects and mechanisms of different concentrations of Mn2+ on urease activity. The results showed that an appropriate amount of Mn2+ could significantly enhance urease activity, while a high concentration of Mn2+ could inhibit it. Insight into the mechanisms behind this phenomenon, various methods such as Zeta potential, particle size, ultraviolet spectroscopy, fluorescence spectroscopy, Fourier transform infrared spectroscopy, and statistical analysis were employed in our study. Research suggested that, on one hand, Mn2+ may form hydrogen bonds with the side chain amino or carboxyl groups of urease amino acid residues, affecting the structure of urease through hydrogen bonding. Additionally, Mn2+ also binds to urease through hydrophobic interactions. On the other hand, the C–OH and C-N functional groups in urease have a strong affinity for Mn2+, and changes in these functional groups can greatly enhance the activity of urease. Furthermore, under the action of high concentrations of Mn2+, while the structure of urease becomes more stable, there is also a steric hindrance phenomenon that affects the substrate from entering the catalytic center. Therefore, studying the mechanism of Mn2+ affecting urease activity has significant biological significance and provides a new perspective for exploring the impact of metals on anaerobic bioprocessing of landfill leachate. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.","Effect and mechanism of Mn2+ on urease activity during anaerobic biological treatment of landfill leachate","10.1007/s11356-024-33907-5","ENGLISH"
"LIU Y, 2022, BIORESOUR TECHNOL","Bio-utilization of lignocellulosic biomass is of huge significance as it can directly replace petroleum resources by producing liquid fuels and organic chemical products in a more sustainable way. However, studies on developing lignin-degrading microbial resources are still very few, which affects on establishing a consolidated bioprocessing of lignocellulosic resource. The main aim of this work is to discover thermostable laccases for lignin thermo-biodegradation by metagenome-mining and biochemical characterization. Results indicate that 124 putative thermostable laccase genes were identified from generated metagenomes. Significantly, 3 rationally selected proteins showed actual activity and structural stability at temperatures up to 60 °C and pH values as low as 4.87. These active recombinant enzymes verify a practical advance in the functional prediction of target proteins, and simultaneous sequence-to-function relationships in this metagenome. In short, the identified thermostable laccase genes in this work could expand range of lignin biocatalysts and contribute to build an efficient lignin biorefinery. © 2022 Elsevier Ltd","New approach of bioprocessing towards lignin biodegradation","10.1016/j.biortech.2022.127730","ENGLISH"
"LOPES AMM, 2021, MOL BIOTECHNOL","Heterologous expression of the carbohydrate-active enzymes in microorganisms is a promising approach to produce bio-based compounds, such as fuels, nutraceuticals and other value-added products from sustainable lignocellulosic sources. Several microorganisms, including Saccharomyces cerevisiae, Escherichia coli, and the filamentous fungi Aspergillus nidulans, have unique characteristics desirable for a biorefinery production approach like well-known genetic tools, thermotolerance, high fermentative capacity and product tolerance, and high amount of recombinant enzyme secretion. These microbial factories are already stablished in the heterologous production of the carbohydrate-active enzymes to produce, among others, ethanol, xylooligosaccharides and the valuable coniferol. A complete biocatalyst able to heterologous express the CAZymes of glycoside hydrolases, carbohydrate esterases and auxiliary activities families could release these compounds faster, with higher yield and specificity. Recent advances in the synthetic biology tools could expand the number and diversity of enzymes integrated in these microorganisms, and also modify those already integrated. This review outlines the heterologous expression of carbohydrate-active enzymes in microorganisms, as well as recent updates in synthetic biology. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC part of Springer Nature.","Heterologous Expression of Lignocellulose-Modifying Enzymes in Microorganisms: Current Status","10.1007/s12033-020-00288-2","ENGLISH"
"LORENZ P, 2005, NAT REV MICROBIOL","Different industries have different motivations to probe the enormous resource that is uncultivated microbial diversity. Currently, there is a global political drive to promote white (industrial) biotechnology as a central feature of the sustainable economic future of modern industrialized societies. This requires the development of novel enzymes, processes, products and applications. Metagenomics promises to provide new molecules with diverse functions, but ultimately, expression systems are required for any new enzymes and bioactive molecules to become an economic success. This review highlights industrial efforts and achievements in metagenomics.","Metagenomics and industrial applications","10.1038/nrmicro1161","ENGLISH"
"LU H, 2022, CHEMOSPHERE","Current biorefinery approaches comprehend diverse biomass feedstocks and various conversion techniques to produce a variety of high-value biochemicals and biofuels. Lignocellulose is among the most abundant, bio-renewable, and sustainable bioresources on earth. It is regarded as a prodigious alternative raw feedstock to produce a large number of chemicals and biofuels. Producing biofuels and platform chemicals from lignocellulosic biomasses represent advantages in terms of energy and environmental perspectives. Lignocellulose is a main structural constituent of non-woody and woody plants consisting of lignin, cellulose, and hemicellulose. Efficient exploitation of all these components is likely to play a considerable contribution to the economic viability of the processes since lignocellulosic biomass often necessitate pretreatment for liberating fermentable sugars and added value products that might serve as feedstocks for microbial strains to produce biofuels and biochemicals. Developing robust microbial culture and advancements in metabolic engineering approaches might lead to the rapid construction of cell factories for the effective biotechnological transformation of biomass feedstocks to produce biorefinery products. In this comprehensive review, we discuss the recent progress in the valorization of agro-industrial wastes as prospective microbial feedstocks to produce a spectrum of high-value products, such as microbial pigments, biopolymers, industrial biocatalysts, biofuels, biologically active compounds, bioplastics, biosurfactants, and biocontrol agents with therapeutic and industrial potentialities. Lignocellulosic biomass architecture, compositional aspects, revalorization, and pretreatment strategies are outlined for efficient conversion of lignocellulosic biomass. Moreover, metabolic engineering approaches are briefly highlighted to develop cell factories to make the lignocellulose biorefinery platforms appealing. © 2021 Elsevier Ltd","Bioprospecting microbial hosts to valorize lignocellulose biomass – Environmental perspectives and value-added bioproducts","10.1016/j.chemosphere.2021.132574","ENGLISH"
"LÄUFER A, 2019, ADV BIOCHEM ENG BIOTECHNOL","Nature uses enzymes to build and convert biomass; mankind uses the same enzymes and produces them on a large scale to make optimum use of biomass in biorefineries. Bacterial α-amylases and fungal glucoamylases have been the workhorses of starch biorefineries for many decades. Pullulanases were introduced in the 1980s. Proteases, cellulases, hemicellulases, and phytases have been on the market for a few years as process aids, improving yields, performance, and costs. Detailed studies of the complex chemical structures of biomass and of the physicochemical limitations of industrial biorefineries have led enzyme developers to produce novel tailor-made solutions for improving yield and profitability in the industry. This chapter reviews the development of enzyme applications in the major starch biorefining processes.","Starch Biorefinery Enzymes.","10.1007/10_2016_60","ENG"
"MARTINDALE W, 2010, BIOTECHNOL GENET ENG REV 1","The emergence of food security as a key policy issue in developed nations has been concomitant with the need to reduce greenhouse gas emissions and the implementation of Environmental Management Systems in primary industries. Biotechnological interventions such as biorefinery platforms that produce chemicals and fuels provide opportunities to reconcile the security and environmental sustainability criteria increasingly sought after by governments. Indeed, sustainable and more carbon neutral options have been positively benchmarked against scenarios based solely on petrochemical feedstocks. Notably, biotechnology companies are beginning to use Environmental Management Systems employed by other industries to advocate the benefits of green technologies that employ GM, industrial enzymes and bio-materials. Management systems such as Life Cycle Analysis are providing a powerful means to measure benefits and augment change in the biotechnology sector. These methods are discussed here in the context of the emergent 21st Century debates on security. The evidence presented leads to a conclusion where biotechnologies are likely to offer increasingly high impact options for sustainability and security criteria required for food and fuel supply.","Carbon, food and fuel security - will biotechnology solve this irreconcilable trinity?",NA,"ENG"
"MARTINDALE W, 2010, BIOTECHNOL GENET ENG REV 2","The emergence of food security as a key policy issue in developed nations has been concomitant with the need to reduce greenhouse gas emissions and the implementation of Environmental Management Systems in primary industries. Biotechnological interventions such as biorefinery platforms that produce chemicals and fuels provide opportunities to reconcile the security and environmental sustainability criteria increasingly sought after by governments. Indeed, sustainable and more carbon neutral options have been positively benchmarked against scenarios based solely on petrochemical feedstocks. Notably, biotechnology companies are beginning to use Environmental Management Systems employed by other industries to advocate the benefits of green technologies that employ GM, industrial enzymes and bio-materials. Management systems such as Life Cycle Analysis are providing a powerful means to measure benefits and augment change in the biotechnology sector. These methods are discussed here in the context of the emergent 21st Century debates on security. The evidence presented leads to a conclusion where biotechnologies are likely to offer increasingly high impact options for sustainability and security criteria required for food and fuel supply. © 2010 Taylor & Francis Group, LLC.","Carbon, food and fuel security–will biotechnology solve this irreconcilable trinity?","10.1080/02648725.2010.10648147","ENGLISH"
"MARTINDALE W, 2010, BIOTECHNOL GENET ENG REV 3","The emergence of food security as a key policy issue in developed nations has been concomitant with the need to reduce greenhouse gas emissions and the implementation of Environmental Management Systems in primary industries. Biotechnological interventions such as biorefinery platforms that produce chemicals and fuels provide opportunities to reconcile the security and environmental sustainability criteria increasingly sought after by governments. Indeed, sustainable and more carbon neutral options have been positively benchmarked against scenarios based solely on petrochemical feedstocks. Notably, biotechnology companies are beginning to use Environmental Management Systems employed by other industries to advocate the benefits of green technologies that employ GM, industrial enzymes and bio-materials. Management systems such as Life Cycle Analysis are providing a powerful means to measure benefits and augment change in the biotechnology sector. These methods are discussed here in the context of the emergent 21st Century debates on security. The evidence presented leads to a conclusion where biotechnologies are likely to offer increasingly high impact options for sustainability and security criteria required for food and fuel supply.","Carbon, food and fuel security - will biotechnology solve this irreconcilable trinity?","10.1080/02648725.2010.10648147","ENGLISH"
"MAZOTTO AM, 2021, ENVIRON TECHNOL INNOV 1","The way we make, use, and throw away our clothes and other textile products is unsustainable. Textile production is among the most pollutant industrial activity, consuming lake-sized volumes of fresh water, discharging hazardous chemicals, creating microplastic pollution from synthetic fibers, consuming unrenewable resources, and contributing more to climate change than international aviation and shipping combined. So, new technologies need to be applied throughout the textile production chain to minimize the environmental impact. The answer for the change can be in microorganisms. Microbial enzymes, powerful catalysts, can substitute chemicals during several processing steps, as well as, they can work in solid and water waste treatment. Microorganisms can produce biopigments that can confer color to fibers instead of synthetic dyes. The versatile metabolisms of microorganisms can be explored to produce new products from textile waste, like bioethanol, or produce new material as bacterial cellulose and recombinant silk. Even the entire microbial cell can be used as intelligent composites. This review aims to show how microorganisms offer several opportunities to improve the sustainability of the textile industry and expose the idea that microorganisms may support the future of the textile/fashion industry. © 2021 Elsevier B.V.","How can microbiology help to improve sustainability in the fashion industry?","10.1016/j.eti.2021.101760","ENGLISH"
"MAZOTTO AM, 2021, ENVIRON TECHNOL INNOV 2","The way we make, use, and throw away our clothes and other textile products is unsustainable. Textile production is among the most pollutant industrial activity, consuming lake-sized volumes of fresh water, discharging hazardous chemicals, creating microplastic pollution from synthetic fibers, consuming unrenewable resources, and contributing more to climate change than international aviation and shipping combined. So, new technologies need to be applied throughout the textile production chain to minimize the environmental impact. The answer for the change can be in microorganisms. Microbial enzymes, powerful catalysts, can substitute chemicals during several processing steps, as well as, they can work in solid and water waste treatment. Microorganisms can produce biopigments that can confer color to fibers instead of synthetic dyes. The versatile metabolisms of microorganisms can be explored to produce new products from textile waste, like bioethanol, or produce new material as bacterial cellulose and recombinant silk. Even the entire microbial cell can be used as intelligent composites. This review aims to show how microorganisms offer several opportunities to improve the sustainability of the textile industry and expose the idea that microorganisms may support the future of the textile/fashion industry. (C) 2021 Elsevier B.V. All rights reserved.","How can microbiology help to improve sustainability in the fashion industry?","10.1016/j.eti.2021.101760","ENGLISH"
"MEDINA-HERRERA N, 2024, BIOMASS","Typically, citrus waste is composted on land by producers or used as livestock feed. However, the biorefinery approach offers a sustainable and economically viable solution for managing and valorizing these agricultural residues. This review examines research from the period 2014 to 2024. Citrus waste can be utilized initially by extracting the present phytochemicals and subsequently by producing value-added products using it as a raw material. The phytochemicals reported as extracted include essential oils (primarily limonene), pectin, polyphenolic components, micro- and nano-cellulose, proteins, and enzymes, among others. The components produced from the waste include bioethanol, biogas, volatile acids, biodiesel, microbial enzymes, and levulinic acid, among others. The review indicates that citrus waste has technical, economic, and environmental potential for utilization at the laboratory scale and, in some cases, at the pilot scale. However, research on refining pathways, optimization, and scalability must continue to be an active field of investigation. © 2024 by the authors.","From Citrus Waste to Valuable Resources: A Biorefinery Approach","10.3390/biomass4030044","ENGLISH"
"MEDINA-HERRERA N, 2024, BIOMASS-SWITZ","Typically, citrus waste is composted on land by producers or used as livestock feed. However, the biorefinery approach offers a sustainable and economically viable solution for managing and valorizing these agricultural residues. This review examines research from the period 2014 to 2024. Citrus waste can be utilized initially by extracting the present phytochemicals and subsequently by producing value-added products using it as a raw material. The phytochemicals reported as extracted include essential oils (primarily limonene), pectin, polyphenolic components, micro- and nano-cellulose, proteins, and enzymes, among others. The components produced from the waste include bioethanol, biogas, volatile acids, biodiesel, microbial enzymes, and levulinic acid, among others. The review indicates that citrus waste has technical, economic, and environmental potential for utilization at the laboratory scale and, in some cases, at the pilot scale. However, research on refining pathways, optimization, and scalability must continue to be an active field of investigation.","From Citrus Waste to Valuable Resources: A Biorefinery Approach","10.3390/biomass4030044","ENGLISH"
"NA, 2012, IND BIOTECHNOL","Conomic activity that is fueled by research and innovation in the biological sciences, the ""bioeconomy,"" is a large and rapidly growing segment of the world economy that provides substantial public benefit.1 The bioeconomy has emerged as an Obama Administration priority because of its tremendous potential for growth as well as the many other societal benefits it offers. It can allow Americans to live longer, healthier lives, reduce our dependence on oil, address key environmental challenges, transform manufacturing processes, and increase the productivity and scope of the agricultural sector while growing new jobs and industries. Decades of life-sciences research and the development of increasingly powerful tools for obtaining and using biological data have brought us closer to the threshold of a previously unimaginable future: ""ready to burn"" liquid fuels produced directly from CO 2, biodegradable plastics made not from oil but from renewable biomass, tailored food products to meet specialized dietary requirements, personalized medical treatments based on a patient's own genomic information, and novel biosensors for real-time monitoring of the environment. Increasingly, scientists and engineers are looking to augment biological research with approaches from other scientific disciplines for solutions to our most demanding scientific and societal challenges and seeing exciting options that will profoundly affect our future. Technological innovation is a significant driver of economic growth, and the US bioeconomy represents a growing sector of this technologyfueled economy. Agriculture, one of the country's largest industries, is heavily based on advances in biological research and development (R&D). According to the USDA, US revenues in 2010 from genetically modified crops were approximately $76 billion. Beyond agriculture, based on the best available estimate, 2010USrevenues from industrial biotechnology- fuels, materials, chemicals, and industrial enzymes derived from genetically modified systems were approximately $100 billion. © 2012, Mary Ann Liebert, Inc.","National bioeconomy blueprint, april 2012","10.1089/ind.2012.1524","ENGLISH"
"NARGOTRA P, 2023, CATALYSTS 1","The urgent demand for alternative energy sources has been sparked by the tremendous burden on fossil fuels and the resulting acute energy crisis and climate change issues. Lignocellulosic biomass is a copious renewable and alternative bioresource for the generation of energy fuels and biochemicals in biorefineries. Different pretreatment strategies have been established to overcome biomass recalcitrance and face technological challenges, such as high energy consumption and operational costs and environmental hazards, among many. Biological pretreatment using microbial enzymes is an environmentally benign and low-cost method that holds promising features in the effective pretreatment of lignocellulosic biomass. Due to their versatility and eco-friendliness, cellulases, hemicellulases, and ligninolytic enzymes have been recognized as “green biocatalysts” with a myriad of industrial applications. The current review provides a detailed description of different types of lignocellulolytic enzymes, their mode of action, and their prospective applications in the valorization of lignocellulosic biomass. Solid state fermentation holds great promise in the microbial production of lignocellulolytic enzymes owing to its energy efficient, environment friendly, and higher product yielding features utilizing the lignocellulosic feedstocks. The recent trends in the application of enzyme immobilization strategies for improved enzymatic catalysis have been discussed. The major bottlenecks in the bioprocessing of lignocellulosic biomass using microbial enzymes and future prospects have also been summarized. © 2022 by the authors.","Microbial Lignocellulolytic Enzymes for the Effective Valorization of Lignocellulosic Biomass: A Review","10.3390/catal13010083","ENGLISH"
"NARGOTRA P, 2023, CATALYSTS 2","The urgent demand for alternative energy sources has been sparked by the tremendous burden on fossil fuels and the resulting acute energy crisis and climate change issues. Lignocellulosic biomass is a copious renewable and alternative bioresource for the generation of energy fuels and biochemicals in biorefineries. Different pretreatment strategies have been established to overcome biomass recalcitrance and face technological challenges, such as high energy consumption and operational costs and environmental hazards, among many. Biological pretreatment using microbial enzymes is an environmentally benign and low-cost method that holds promising features in the effective pretreatment of lignocellulosic biomass. Due to their versatility and eco-friendliness, cellulases, hemicellulases, and ligninolytic enzymes have been recognized as ``green biocatalysts'' with a myriad of industrial applications. The current review provides a detailed description of different types of lignocellulolytic enzymes, their mode of action, and their prospective applications in the valorization of lignocellulosic biomass. Solid state fermentation holds great promise in the microbial production of lignocellulolytic enzymes owing to its energy efficient, environment friendly, and higher product yielding features utilizing the lignocellulosic feedstocks. The recent trends in the application of enzyme immobilization strategies for improved enzymatic catalysis have been discussed. The major bottlenecks in the bioprocessing of lignocellulosic biomass using microbial enzymes and future prospects have also been summarized.","Microbial Lignocellulolytic Enzymes for the Effective Valorization of Lignocellulosic Biomass: A Review","10.3390/catal13010083","ENGLISH"
"NATH S, 2022, MYCOL","Fungi, being natural decomposers, are the most potent, ubiquitous and versatile sources of industrial enzymes. About 60% of market share of industrial enzymes is sourced from filamentous fungi and yeasts. Mycozymes (myco-fungus; zymes-enzymes) are playing a pivotal role in several industrial applications and a number of potential applications are in the offing. The field of mycozyme production, while maintaining the old traditional methods, has also witnessed a sea change due to advents in recombinant DNA technology, optimisation protocols, fermentation technology and systems biology. Consolidated bioprocessing of abundant lignocellulosic biomass and complex polysaccharides is being explored at an unprecedented pace and a number of mycozymes of diverse fungal origins are being explored using suitable platforms. The present review attempts to revisit the current status of various mycozymes, screening and production strategies and applications thereof. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Recent Developments in Industrial Mycozymes: A Current Appraisal","10.1080/21501203.2021.1974111","ENGLISH"
"NATH S, 2022, MYCOLOGY 1","Fungi, being natural decomposers, are the most potent, ubiquitous and versatile sources of industrial enzymes. About 60% of market share of industrial enzymes is sourced from filamentous fungi and yeasts. Mycozymes (myco-fungus; zymes-enzymes) are playing a pivotal role in several industrial applications and a number of potential applications are in the offing. The field of mycozyme production, while maintaining the old traditional methods, has also witnessed a sea change due to advents in recombinant DNA technology, optimisation protocols, fermentation technology and systems biology. Consolidated bioprocessing of abundant lignocellulosic biomass and complex polysaccharides is being explored at an unprecedented pace and a number of mycozymes of diverse fungal origins are being explored using suitable platforms. The present review attempts to revisit the current status of various mycozymes, screening and production strategies and applications thereof.","Recent Developments in Industrial Mycozymes: A Current Appraisal.","10.1080/21501203.2021.1974111","ENG"
"NATH S, 2022, MYCOLOGY 2","Fungi, being natural decomposers, are the most potent, ubiquitous and versatile sources of industrial enzymes. About 60\% of market share of industrial enzymes is sourced from filamentous fungi and yeasts. Mycozymes (myco-fungus; zymes-enzymes) are playing a pivotal role in several industrial applications and a number of potential applications are in the offing. The field of mycozyme production, while maintaining the old traditional methods, has also witnessed a sea change due to advents in recombinant DNA technology, optimisation protocols, fermentation technology and systems biology. Consolidated bioprocessing of abundant lignocellulosic biomass and complex polysaccharides is being explored at an unprecedented pace and a number of mycozymes of diverse fungal origins are being explored using suitable platforms. The present review attempts to revisit the current status of various mycozymes, screening and production strategies and applications thereof.","Recent Developments in Industrial Mycozymes: A Current Appraisal","10.1080/21501203.2021.1974111","ENGLISH"
"NIGAM PS, 2017, WASTE MANAGE","This overview has focused on the options available for the utilisation of residual-biomass generated in distillery and brewery for the production of added-value products. Bio-processing approaches have been reviewed and discussed for the economical bioconversion and utilisation of this waste for the production of bioproducts, such as lactic acid, enzymes, xylitol and animal feed. Though this overview provides several options for the bioprocessing of this residual material, a more suitable one could be chosen according to the processing-facilities available and the amount of residue available in local area. The feasibility of any chosen process should be evaluated on the basis of cost of material available, its local utilisation for animal feed, and the overall economical advantages that could be gained by changing its current traditional landfill use to produce higher added value products. © 2017 Elsevier Ltd","An overview: Recycling of solid barley waste generated as a by-product in distillery and brewery","10.1016/j.wasman.2017.02.018","ENGLISH"
"OEHLENSCHLAEGER K, 2024, BIOTECHNOL BIOFUELS BIOPROD","Biotransformation with enzymes and de novo syntheses with whole-cell biocatalysts each have specific advantages. These can be combined to achieve processes with optimal performance. A recent approach is to perform bioconversion processes and enzymatic catalysis simultaneously in one-pot. This is a well-established process in the biorefinery, where starchy or cellulosic material is degraded enzymatically and simultaneously used as substrate for microbial cultivations. This procedure leads to a number of advantages like saving in time but also in the needed equipment (e.g., reaction vessels). In addition, the inhibition or side-reaction of high sugar concentrations can be overcome by combining the processes. These benefits of coupling microbial conversion and enzymatic biotransformation can also be transferred to other processes for example in the sector of biofuel production or in the food industry. However, finding a compromise between the different requirements of the two processes is challenging in some cases. This article summarises the latest developments and process variations.","Simultaneous fermentation and enzymatic biocatalysis-a useful process option?","10.1186/s13068-024-02519-z","ENGLISH"
"OEHLENSCHLÄGER K, 2024, BIOTECHNOL BIOFUELS BIOPROD 1","Biotransformation with enzymes and de novo syntheses with whole-cell biocatalysts each have specific advantages. These can be combined to achieve processes with optimal performance. A recent approach is to perform bioconversion processes and enzymatic catalysis simultaneously in one-pot. This is a well-established process in the biorefinery, where starchy or cellulosic material is degraded enzymatically and simultaneously used as substrate for microbial cultivations. This procedure leads to a number of advantages like saving in time but also in the needed equipment (e.g., reaction vessels). In addition, the inhibition or side-reaction of high sugar concentrations can be overcome by combining the processes. These benefits of coupling microbial conversion and enzymatic biotransformation can also be transferred to other processes for example in the sector of biofuel production or in the food industry. However, finding a compromise between the different requirements of the two processes is challenging in some cases. This article summarises the latest developments and process variations.","Simultaneous fermentation and enzymatic biocatalysis-a useful process option?","10.1186/S13068-024-02519-Z","ENG"
"OEHLENSCHLÄGER K, 2024, BIOTECHNOL BIOFUELS BIOPROD 2","Biotransformation with enzymes and de novo syntheses with whole-cell biocatalysts each have specific advantages. These can be combined to achieve processes with optimal performance. A recent approach is to perform bioconversion processes and enzymatic catalysis simultaneously in one-pot. This is a well-established process in the biorefinery, where starchy or cellulosic material is degraded enzymatically and simultaneously used as substrate for microbial cultivations. This procedure leads to a number of advantages like saving in time but also in the needed equipment (e.g., reaction vessels). In addition, the inhibition or side-reaction of high sugar concentrations can be overcome by combining the processes. These benefits of coupling microbial conversion and enzymatic biotransformation can also be transferred to other processes for example in the sector of biofuel production or in the food industry. However, finding a compromise between the different requirements of the two processes is challenging in some cases. This article summarises the latest developments and process variations. Graphical Abstract: (Figure presented.) © The Author(s) 2024.","Simultaneous fermentation and enzymatic biocatalysis—a useful process option?","10.1186/s13068-024-02519-z","ENGLISH"
"OGUNYEWO OA, 2020, APPL ENVIRON MICROBIOL 1","Lytic polysaccharide monooxygenases (LPMOs) are crucial industrial enzymes required in the biorefinery industry as well as in the natural carbon cycle. These enzymes, known to catalyze the oxidative cleavage of glycosidic bonds, are produced by numerous bacterial and fungal species to assist in the degradation of cellulosic biomass. In this study, we annotated and performed structural analysis of an uncharacterized LPMO from Penicillium funiculosum (PfLPMO9) based on computational methods in an attempt to understand the behavior of this enzyme in biomass degradation. PfLPMO9 exhibited 75% and 36% sequence identities with LPMOs from Thermoascus aurantiacus (TaLPMO9A) and Lentinus similis (LsLPMO9A), respectively. Furthermore, multiple fungal genetic manipulation tools were employed to simultaneously overexpress LPMO and cellobiohydrolase I (CBH1) in a catabolite-derepressed strain of Penicillium funiculosum, PfMig1(88) (an engineered variant of P. funiculosum), to improve its saccharification performance toward acid-pretreated wheat straw (PWS) at 20% substrate loading. The resulting transformants showed improved LPMO and CBH1 expression at both the transcriptional and translational levels, with ∼200% and ∼66% increases in ascorbate-induced LPMO and Avicelase activities, respectively. While the secretome of PfMig(88) overexpressing LPMO or CBH1 increased the saccharification of PWS by 6% or 13%, respectively, over the secretome of PfMig1(88) at the same protein concentration, the simultaneous overexpression of these two genes led to a 20% increase in saccharification efficiency over that observed with PfMig1(88), which accounted for 82% saccharification of PWS under 20% substrate loading.IMPORTANCE The enzymatic hydrolysis of cellulosic biomass by cellulases continues to be a significant bottleneck in the development of second-generation biobased industries. While increasing efforts are being made to obtain indigenous cellulases for biomass hydrolysis, the high production cost of this enzyme remains a crucial challenge affecting its wide availability for the efficient utilization of cellulosic materials. This is because it is challenging to obtain an enzymatic cocktail with balanced activity from a single host. This report describes the annotation and structural analysis of an uncharacterized lytic polysaccharide monooxygenase (LPMO) gene in Penicillium funiculosum and its impact on biomass deconstruction upon overexpression in a catabolite-derepressed strain of P. funiculosum Cellobiohydrolase I (CBH1), which is the most important enzyme produced by many cellulolytic fungi for the saccharification of crystalline cellulose, was further overexpressed simultaneously with LPMO. The resulting secretome was analyzed for enhanced LPMO and exocellulase activities and the corresponding improvement in saccharification performance (by ∼20%) under high-level substrate loading using a minimal amount of protein.","Synergistic Action of a Lytic Polysaccharide Monooxygenase and a Cellobiohydrolase from Penicillium funiculosum in Cellulose Saccharification under High-Level Substrate Loading.","10.1128/AEM.01769-20","ENG"
"OGUNYEWO OA, 2020, APPL ENVIRON MICROBIOL 2","Lytic polysaccharide monooxygenases (LPMOs) are crucial industrial enzymes required in the biorefinery industry as well as in the natural carbon cycle. These enzymes, known to catalyze the oxidative cleavage of glycosidic bonds, are produced by numerous bacterial and fungal species to assist in the degradation of cellulosic biomass. In this study, we annotated and performed structural analysis of an uncharacterized LPMO from Penicillium funiculosum (PfLPMO9) based on computational methods in an attempt to understand the behavior of this enzyme in biomass degradation. PfLPMO9 exhibited 75% and 36% sequence identities with LPMOs from Thermoascus aurantiacus (TaLPMO9A) and Lentinus similis (LsLPMO9A), respectively. Furthermore, multiple fungal genetic manipulation tools were employed to simultaneously overexpress LPMO and cellobiohydrolase I (CBH1) in a catabolitederepressed strain of Penicillium funiculosum, PfMig188(an engineered variant of P. funiculosum), to improve its saccharification performance toward acid-pretreated wheat straw (PWS) at 20% substrate loading. The resulting transformants showed improved LPMO and CBH1 expression at both the transcriptional and translational levels, with ~200% and ~66% increases in ascorbate-induced LPMO and Avicelase activities, respectively. While the secretome of PfMig88overexpressing LPMO or CBH1 increased the saccharification of PWS by 6% or 13%, respectively, over the secretome of PfMig188at the same protein concentration, the simultaneous overexpression of these two genes led to a 20% increase in saccharification efficiency over that observed with PfMig188, which accounted for 82% saccharification of PWS under 20% substrate loading. © 2020 Copyright ©2020 American Society for Microbiology. All Rights Reserved.","Synergistic Action of a Lytic Polysaccharide Monooxygenase and a Cellobiohydrolase from Penicillium funiculosum in Cellulose Saccharification under High-Level Substrate Loading","10.1128/AEM.01769-20","ENGLISH"
